"id","ruleId","status","requesterId","requested_at","workspace","ruleAttributeId","business_key"
"019e0488-9a52-7bf9-9f64-52ff20f894ae","4","pending","u2","2026-02-12T08:45:00Z","retail-banking","ra15","retail-banking:account-active-status:2026-02-12T08:45:00Z"
"019e0488-9a52-7cc8-a926-407238438596","5","approved","u1","2026-02-13T12:20:00Z","corporate-banking","ra16","corporate-banking:interest-rate-range:2026-02-13T12:20:00Z"
"019e0488-9a52-7dd1-8ac8-476640824b20","3","cancelled","u5","2026-02-14T11:45:00Z","risk-compliance","ra14","risk-compliance:customer-kyc-verified:2026-02-14T11:45:00Z"
"019e0488-9a52-707b-b81d-9b46b8da75aa","5","cancelled","u2","2026-02-14T12:00:00Z","payments","ra16","payments:interest-rate-range:2026-02-14T12:00:00Z"
"019e0488-9a52-7f73-b4b0-1fd50f0199e7","1","approved","u3","2026-02-15T09:10:00Z","retail-banking","ra1","retail-banking:account-balance-positive:2026-02-15T09:10:00Z"
"019e0488-9a52-7d24-9c61-460b7fd32c81","2","pending","u1","2026-02-16T10:25:00Z","retail-banking","ra2","retail-banking:transaction-amount-limit:2026-02-16T10:25:00Z"
"019e0488-9a52-747a-a5be-2e2fbe9fc1db","4","rejected","u2","2026-02-16T14:05:00Z","retail-banking","ra15","retail-banking:account-active-status:2026-02-16T14:05:00Z"
"019e0488-9a52-7cbc-aa8d-14bce13b41b3","3","approved","u4","2026-02-17T08:40:00Z","retail-banking","ra14","retail-banking:customer-kyc-verified:2026-02-17T08:40:00Z"
"019e0488-9a52-7d47-86cb-1319203a5050","5","pending","u6","2026-02-18T11:55:00Z","retail-banking","ra16","retail-banking:interest-rate-range:2026-02-18T11:55:00Z"
"019e0488-9a52-7283-bd05-28afd1f8373a","2","cancelled","demo-analyst","2026-02-18T16:15:00Z","retail-banking","ra6","retail-banking:transaction-amount-limit:2026-02-18T16:15:00Z"
"019e0488-9a52-703f-b243-827eacb23137","1","rejected","demo-steward","2026-02-19T07:30:00Z","retail-banking","ra7","retail-banking:account-balance-positive:2026-02-19T07:30:00Z"
"019e0488-9a52-7e98-8382-8802cc59e2e7","4","approved","u6","2026-02-19T13:20:00Z","retail-banking","ra4","retail-banking:account-active-status:2026-02-19T13:20:00Z"
"019e0488-9a52-7aa1-bdfc-9908bea72448","5","pending","u3","2026-02-20T09:45:00Z","retail-banking","ra5","retail-banking:interest-rate-range:2026-02-20T09:45:00Z"
"019e0488-9a52-73e3-9eb7-75fcad5410f6","1","pending","u2","2026-02-21T08:10:00Z","retail-banking","ra1","retail-banking:account-balance-positive:2026-02-21T08:10:00Z"
"019e0488-9a52-7cae-895d-3dc4ce636546","2","pending","u3","2026-02-21T09:35:00Z","retail-banking","ra2","retail-banking:transaction-amount-limit:2026-02-21T09:35:00Z"
"019e0488-9a52-772a-877b-253a7bb6a6c5","3","pending","u4","2026-02-21T10:50:00Z","retail-banking","ra3","retail-banking:customer-kyc-verified:2026-02-21T10:50:00Z"
"019e0488-9a52-74fd-a941-6b61074faa50","4","pending","u1","2026-02-21T12:05:00Z","retail-banking","ra4","retail-banking:account-active-status:2026-02-21T12:05:00Z"
"019e0488-9a52-7034-b3b7-d70320568f23","5","pending","u6","2026-02-21T13:20:00Z","retail-banking","ra5","retail-banking:interest-rate-range:2026-02-21T13:20:00Z"
"019e0488-9a52-7f56-a17d-3b84da1c6069","2","pending","demo-analyst","2026-02-22T08:45:00Z","retail-banking","ra6","retail-banking:transaction-amount-limit:2026-02-22T08:45:00Z"
"019e0488-9a52-7c43-9883-d33a7917012d","1","pending","demo-viewer","2026-02-22T11:15:00Z","retail-banking","ra7","retail-banking:account-balance-positive:2026-02-22T11:15:00Z"
"019e0488-9a52-72f1-bd41-decd41155b00","3","pending","u0","2026-02-22T14:40:00Z","retail-banking","ra14","retail-banking:customer-kyc-verified:2026-02-22T14:40:00Z"
"019e0488-9a52-7239-b1fd-07452281cc7a","4","approved","u6","2026-02-23T09:25:00Z","retail-banking","ra15","retail-banking:account-active-status:2026-02-23T09:25:00Z"
"019e0488-9a52-7376-a9a4-a06aa5e9f97a","5","rejected","u1","2026-02-23T16:05:00Z","retail-banking","ra16","retail-banking:interest-rate-range:2026-02-23T16:05:00Z"
