"id","dataset_id","name","description","icon","created_at","latest_version_id","business_key"
"019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a54-7678-a935-3e65933617ae","Customer","Accounts and customer profiles","icon-user","2025-01-15T10:00:00Z","019e0488-9a53-7a7f-8cde-a785bd046bc9","customer"
"019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a54-7678-a935-3e65933617ae","Contact","Contact and communication details","icon-phone-mobile","2025-02-01T10:00:00Z","019e0488-9a53-7825-811b-761e3e99314c","contact"
"019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a54-7653-bd1c-698145dca333","Order","Customer orders and transactions","icon-shopping-cart","2025-02-01T10:00:00Z","019e0488-9a53-7f31-9445-917a81329425","order"
"019e0488-9a53-785b-990e-2f4738a0f9eb","019e0488-9a54-7cb2-8ca2-9088abc47f92","Transaction","Individual payment transactions","icon-receipt","2025-03-01T10:00:00Z","019e0488-9a53-77fa-9a22-cff40798361e","transaction"
"019e0488-9a53-7dd4-91fb-42cbc0ac809a","019e0488-9a54-7dbd-bb4b-d20d2d7bf053","Product","Product definitions and attributes","icon-tag","2025-04-01T10:00:00Z","019e0488-9a53-7154-a09b-cdc371ca11d6","product"
"019e0488-9a53-7c5b-be3e-ae7933c031cf","019e0488-9a54-7dbd-bb4b-d20d2d7bf053","Inventory","Stock levels and warehouse information","icon-layers","2025-04-15T10:00:00Z","019e0488-9a53-7dbb-acde-8d30e45fd2fb","inventory"
"019e0488-9a53-75f7-86df-5d2d65f06b39","019e0488-9a54-7e73-8e89-d8ef19234a17","DimDate","Date dimension for time-based analysis","icon-calendar","2025-05-01T10:00:00Z","019e0488-9a53-7610-9b56-fef2778ca70b","dimdate"
"019e0488-9a53-7a0c-89c2-98286166c79e","019e0488-9a54-7e73-8e89-d8ef19234a17","FactSales","Sales transactions fact table","icon-bar-chart","2025-05-10T10:00:00Z","019e0488-9a53-79fd-a431-c423148a46dd","factsales"
"019e0488-9a53-70a5-832e-12595a66faf5","019e0488-9a54-7b5b-9bb9-3380e66db03f","PageViewEvent","Web page view tracking events","icon-activity","2025-06-01T10:00:00Z","019e0488-9a53-7a80-a59e-edec85e33294","pageviewevent"
"019e0488-9a53-7080-85b2-6e6464c0d325","019e0488-9a54-7b5b-9bb9-3380e66db03f","ClickEvent","User click and interaction tracking","icon-cursor","2025-06-10T10:00:00Z","019e0488-9a53-7040-934c-8af1cd134d48","clickevent"
"019e0488-9a53-723a-be81-ed49cd179a05","019e0488-9a54-7124-aeb7-21cd8f34fff5","Country","Country reference data with ISO codes","icon-globe","2025-07-01T10:00:00Z","019e0488-9a53-7800-abc1-c7302f83e6ef","country"
"019e0488-9a53-7b21-ba16-3b362baa4815","019e0488-9a54-7124-aeb7-21cd8f34fff5","Currency","Currency master data","icon-coin-euro","2025-07-05T10:00:00Z","019e0488-9a53-7b7a-8b7e-db30bbce0048","currency"
"019e0488-9a53-7875-ab29-a6f5e2662452","019e0488-9a54-7581-81d0-3e089c1d9868","Ticket","Support tickets and issue tracking","icon-award","2025-08-01T10:00:00Z","019e0488-9a53-7dac-a94a-64225515bb48","ticket"
"019e0488-9a53-7990-85fb-950fb8d525a8","019e0488-9a54-7581-81d0-3e089c1d9868","SupportAgent","Support agent profiles and assignments","icon-user-check","2025-08-10T10:00:00Z","019e0488-9a53-746e-98c5-8399d132ff65","supportagent"
"019e0488-9a53-75c0-8f05-efaf34cfd592","019e0488-9a54-7d57-9a70-4f88c596f718","Campaign","Marketing campaign definitions and metadata","icon-target","2025-09-15T10:00:00Z","019e0488-9a53-7d56-bb46-0c8c98d2b7d2","campaign"
"019e0488-9a53-7d9c-a5bf-8c653380ed37","019e0488-9a54-75e4-8485-facd0192c876","RegulatoryRecord","Compliance records and audit logs","icon-shield-check","2025-09-20T10:00:00Z","019e0488-9a53-736e-97d2-d2b0d1991737","regulatoryrecord"
