"id","name","description","workspace","business_key"
"019e0488-9a53-7c72-af10-87d726eef784","Customer","Accounts and customer profiles","retail-banking","customer"
"019e0488-9a53-7203-b971-1ca3f76a4c1f","Contact","Contact and communication details","retail-banking","contact"
"019e0488-9a53-7a36-bc19-d93e75ef1e05","Order","Customer orders and transactions","retail-banking","order"
"019e0488-9a53-785b-990e-2f4738a0f9eb","Transaction","Individual payment transactions","retail-banking","transaction"
"019e0488-9a53-7dd4-91fb-42cbc0ac809a","Product","Product definitions and attributes","retail-banking","product"
"019e0488-9a53-7c5b-be3e-ae7933c031cf","Inventory","Stock levels and warehouse information","retail-banking","inventory"
"019e0488-9a53-75f7-86df-5d2d65f06b39","DimDate","Date dimension for time-based analysis","corporate-banking","dimdate"
"019e0488-9a53-7a0c-89c2-98286166c79e","FactSales","Sales transactions fact table","corporate-banking","factsales"
"019e0488-9a53-70a5-832e-12595a66faf5","PageViewEvent","Web page view tracking events","retail-banking","pageviewevent"
"019e0488-9a53-7080-85b2-6e6464c0d325","ClickEvent","User click and interaction tracking","retail-banking","clickevent"
"019e0488-9a53-723a-be81-ed49cd179a05","Country","Country reference data with ISO codes","retail-banking","country"
"019e0488-9a53-7b21-ba16-3b362baa4815","Currency","Currency master data","retail-banking","currency"
"019e0488-9a53-7875-ab29-a6f5e2662452","Ticket","Support tickets and issue tracking","risk-compliance","ticket"
"019e0488-9a53-7990-85fb-950fb8d525a8","SupportAgent","Support agent profiles and assignments","risk-compliance","supportagent"
"019e0488-9a53-75c0-8f05-efaf34cfd592","Campaign","Marketing campaign definitions and metadata","treasury","campaign"
"019e0488-9a53-7d9c-a5bf-8c653380ed37","RegulatoryRecord","Compliance records and audit logs","treasury","regulatoryrecord"
