asset_id,logical_name,physical_mapping_full_name,assignment_type,business_data_element_name
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,Schema_tdm > PYMT_PD_TP_CLS_MS > ABB_CMRCL_CODE,supporting,Product Arrangement: Blocked Limit Indicator
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,Schema_dbo > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE,supporting,Product Arrangement: Blockage Reason
00d48e9f-d5a9-4207-9fdc-4705ee9db042,ABB Operational Code,Schema_dwfr_str > PYMT_BSC_CHARS_DS_new > ABB_OPRL_CODE,supporting,Product Arrangement: Blocked Limit Indicator
00d48e9f-d5a9-4207-9fdc-4705ee9db042,ABB Operational Code,Schema_tdm > PYMT_BSC_CHARS_DS > ABB_OPRL_CODE,supporting,Product Arrangement: Blockage Reason
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_OWNER_PUB > IPO_INS___IPO_IN_134E031DF31DF > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_OWNER_PUB > CRN_BAL___BES_CR_1D257804F907E > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dbo > CRN_BAL_PYMT_AC_DS > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dbo > DGS_CRN_AC_INT_TO_BE_SETL_DS > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dbo > IPO_INS_POLCY_CMSN_TMP_AMI > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dbo > DGS_CRN_AC_INT_TO_BE_SETL_MS > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dih > CRN_BAL_PYMT_AC_DS > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
2148b797-872f-4ade-9d01-22f3199cff20,Account IBAN,Schema_dih > DGS_CRN_AC_INT_TO_BE_SETL_MS > AC_IBAN,supporting,Financial Statement: Loans & Advances Gross Carrying Amount
