asset_id,glossary_name,term_name,display_name,description,logical_data_type,status,synonyms,domain_values,notes
154c3402-4862-4553-9efa-83f84131e297,"Payments, Savings & Investments LDD",ABB Commercial Code,ABB Commercial Code,Code for deviating power of disposal used in case of blocking an account.,A1,Approved,ABB_CMRCL_CODE,Blocking Codes,Also known as ABB codes.
00d48e9f-d5a9-4207-9fdc-4705ee9db042,"Payments, Savings & Investments LDD",ABB Operational Code,ABB Operational Code,Code for deviating power of disposal used in case of blocking financial transactions.,A1,Approved,ABB_OPRL_CODE,Blocking Codes,Also known as ABB codes.
c39d8546-d0a3-44d6-80c3-1c2d6434e68b,"Payments, Savings & Investments LDD",Account Description,Account Description,A line of text that can be printed on an information product. Often it contains the purpose of the acccount.,A35,Approved,AC_DSC,,
2148b797-872f-4ade-9d01-22f3199cff20,"Payments, Savings & Investments LDD",Account IBAN,Account IBAN,The accountnumber in the International Bank Account Number (IBAN) format,A34,Approved,AC_IBAN,,
ba024f6b-b9a7-4e4f-9cb5-670cc1ae2b58,"Payments, Savings & Investments LDD",Accounting Entry Account Currency Code,Accounting Entry Account Currency Code,Code of the currency of the accounting entry based on the currency of the account.,A3,Approved,ACG_ENTR_AC_CCY_CODE|acct_ccy,ISO 4217 Currency Code,
6ee0c1cd-198b-49ee-b0fa-392a140f8dc4,"Payments, Savings & Investments LDD",Accounting Entry Account Id,Accounting Entry Account Id,Identification of the account to which the accounting entry is related.,A34,Approved,ACG_ENTR_AC_ID,,"This can be either the IBAN of the account (in case of a payment agreement) or the identification of a Group Settlement Agreement (GAO in Dutch) (in case of interest compensation/combination). The GOA id is a 6 digit number. The Basic Payment Product Number tells if it is an interest compensation (type = 88), an interest combination (type = 89) or a payment agreement (type <> 88/89)."
03eca792-a5a5-4183-bf69-a75846ba1fb0,"Payments, Savings & Investments LDD",Accounting Entry Account Servicer Reference Id,Accounting Entry Account Servicer Reference Id,Unique reference as assigned by the account servicing institution to identify the accounting entry.,A35,Approved,ACG_ENTR_AC_SVCR_REF_ID|NTRY_ACCT_SVCR_REF,,"For entries replicated from Atlas, this field contains the RA or PA number. For entries replicated from COF, this field contains the transaction timestamp as assigned by COF."
72032cf0-fb71-4bd4-b785-9fe2b2f6946d,"Payments, Savings & Investments LDD",Accounting Entry After Booking Balance Debit Credit Code,Accounting Entry After Booking Balance Debit Credit Code,Code to indicate whether the balance after booking is credit or a debit balance.,A4,Approved,ACG_ENTR_AF_BKG_BAL_DB_CR_CODE|bal_aftr_bookg_cdt_dbt_ind,"CRDT, DBIT","Possible values: - CRDT = Credit, this means a positive balance for the customer. For the bank this is a debt. - DBIT = Debit, this means a negative balance or balance equal zero for the customer. For the bank this is an asset."
030e3e87-fd9a-4703-b91b-fb771e6df200,"Payments, Savings & Investments LDD",Accounting Entry After Booking Currency Balance,Accounting Entry After Booking Currency Balance,"The book balance of the account after the specific accounting entry is posted, expressed in the currency of the related account.","DC18,3",Approved,ACG_ENTR_AF_BKG_CCY_BAL|BAL_AFTR_BOOKG,,This is always a book balance.
8da37a9a-bbc2-414c-a91d-e3f384eba85b,"Payments, Savings & Investments LDD",Accounting Entry After Booking Currency Smallest Unit Balance,Accounting Entry After Booking Currency Smallest Unit Balance,"The book balance of the account after the specific accounting entry is posted, expressed in the smallest unit of the currency of the related account.",N18,Approved,ACG_ENTR_AF_BKG_CCY_SU_BAL|BOOKG_AMT,,This is always a book balance
909a5ebb-2d76-4713-a50c-b3cf6460ca7c,"Payments, Savings & Investments LDD",Accounting Entry Autonomous Tariff Group Code,Accounting Entry Autonomous Tariff Group Code,Code that refers to the autonomous tariff group that is used in the booking.,A3,Approved,ACG_ENTR_AUTN_TRFF_GRP_CODE,Transaction Group Autonomous,Examples: BGP: Behandelingsprovisie bankgarantie BGZ: Behandelingsprovisie bankgarantie BSL: Beslaglegging BVA: Bankverklaring A BVB: Bankverklaring B BVS: Standaardbankverklaring COD: Coulance betaling COU: Coulance betaling CRD: Correctie creditrente CRE: Correctie creditrente DRD: Correctie debetrente DRE: Correctie debetrente KSH: Terugboeking schuldsanering KSL: Terugboeking schuldsanering KSS: Terugboeking schuldsanering KSX: Terugboeking schuldsanering
3739e62c-6e6d-4ebb-bac0-b4b62028fa20,"Payments, Savings & Investments LDD",Accounting Entry Bank Code,Accounting Entry Bank Code,Code of the bank where the transaction is registered in the general ledger.,N4,Approved,ACG_ENTR_BNK_CODE,Office Administration (Bank Codes),This is the office number that was valid for the corresponding agreement of the transaction at the time of execution. The time of execution is based on the transaction control timestamp assigned to the transaction.
616a7e1d-9dea-41de-92fb-210e5927eff3,"Payments, Savings & Investments LDD",Accounting Entry Bank Message Id,Accounting Entry Bank Message Id,"Unique identification, as assigned by the bank, to unambiguously identify a message, related to the accounting entry",A35,Approved,ACG_ENTR_BNK_MSG_ID|BK_MSG_ID,,"The message is technically a file. The identification is for bank internal (traceability) use only, and may therefore not be used in customer reporting."
161ebc0f-31ad-4eec-b7b7-7760559bac37,"Payments, Savings & Investments LDD",Accounting Entry Bank Payment Information Id,Accounting Entry Bank Payment Information Id,"Unique identification, as assigned by the bank, to unambiguously identify the paymentbatch, related to the accounting entry.",A35,Approved,ACG_ENTR_BNK_PYMT_INF_ID|BK_PMT_INF_ID,,"The identification is for bank internal (traceability) use only, and may therefore not be used in customer reporting."
bfd0e352-e1bf-4a14-9a10-7a0d54dbc33f,"Payments, Savings & Investments LDD",Accounting Entry Basic Payment Product Number,Accounting Entry Basic Payment Product Number,Unique number to identify the basic payment product which the transaction is part of.,N4,Approved,ACG_ENTR_BBP_NO,BBP Information,Code (number) indicating a product related to a Basic Payment Agreement (BBO). Also called 'accounttype' . This is the Basic Payment Product Number that was valid for the corresponding agreement of the transaction at the time of execution. The time of execution is based on the transaction control timestamp assigned to the transaction.
a1498c31-8ddc-4144-ba78-bf69bdac58eb,"Payments, Savings & Investments LDD",Accounting Entry Book Date,Accounting Entry Book Date,Date on which the accounting entry is to be posted in the general ledger.,D,Approved,ACG_ENTR_BOOK_DT,,Date used for General Ledger and Customer reporting. Book Date is always a business day-date (not a date during a weekend or bank holiday). Booking Date closure within bank is currently around 7:30 pm CET/CEST. Book Date is generated (with the first not closed Booking Date) at the moment an accounting entry is posted to an account in the Current Account administration.
5d04c105-1671-4995-ab38-5fef2ebb040d,"Payments, Savings & Investments LDD",Accounting Entry Contra Account IBAN,Accounting Entry Contra Account IBAN,The IBAN of the account of the contra booking.,A34,Approved,ACG_ENTR_CNTR_AC_IBAN|CNTR_PTY_ACCT_ID_IBAN,,
6783b18c-7d73-46c7-abed-c580f510fdb6,"Payments, Savings & Investments LDD",Accounting Entry Contra Account Id,Accounting Entry Contra Account Id,The id of the account of the contra booking.,A35,Approved,ACG_ENTR_CNTRA_AC_ID,,This is either a BBAN or an IBAN
ae77bbdd-f4af-4d1e-9883-cff7a6869486,"Payments, Savings & Investments LDD",Accounting Entry Credit Management Commission Group Code,Accounting Entry Credit Management Commission Group Code,Code that refers to the Credit Management commission group that is used in the booking.,A2,Approved,ACG_ENTR_CR_MGT_CMSN_GRP_CODE,Commission Tables,
9924a512-9a99-4878-9ae7-88c36dba256b,"Payments, Savings & Investments LDD",Accounting Entry Currency Amount,Accounting Entry Currency Amount,Booking amount of the accounting entry in the currency of the account related to the accounting entry.,"DC18,3",Approved,ACG_ENTR_CCY_AMT|BOOKG_AMT,,
a2e68bfc-94ca-4704-9a7f-1ed7fa55ba00,"Payments, Savings & Investments LDD",Accounting Entry Currency Number Of Decimals,Accounting Entry Currency Number Of Decimals,The number of decimals in which the currency of the accounting entry is expressed.,N3,Approved,ACG_ENTR_CCY_NODCM,ISO 4217 Currency Code,This is based on the currency of the event.
d4fc65eb-d418-4b4f-a1ee-14ffb7a73dc8,"Payments, Savings & Investments LDD",Accounting Entry Currency Smallest Unit Amount,Accounting Entry Currency Smallest Unit Amount,Booking amount of the Accounting Entry in the smallest unit of the currency of the account related to the accounting entry.,N18,Approved,ACG_ENTR_CCY_SU_AMT,,
bac6aee1-5e0e-45ac-8a0f-60367767d5f7,"Payments, Savings & Investments LDD",Accounting Entry Debit Credit Code,Accounting Entry Debit Credit Code,Indication whether the accounting entry is a debit or a credit entry.,A4,Approved,ACG_ENTR_DB_CR_CODE|bookg_cdt_dbt_ind,"CRDT, DBIT","Possible values: - CRDT = Credit, a booking with this value results in an increase of the balance of the customer - DBIT = Debit, a booking with this value results in a decrease of the balance of the customer"
5057ca7d-2919-4b79-b26f-65466772957e,"Payments, Savings & Investments LDD",Accounting Entry Delivery Channel Code,Accounting Entry Delivery Channel Code,"Identification of the distribution channel or product administration through which the transaction, related to the accounting entry is initiated or received by bank.",A3,Approved,ACG_ENTR_DLV_CNL_CODE,Distribution Channel,"For instance: RIB, RDC or ART."
db00a698-231a-49e8-9674-235f8a4ba27b,"Payments, Savings & Investments LDD",Accounting Entry Detailed Transaction Type Code,Accounting Entry Detailed Transaction Type Code,"Code to indicate the detailed type of the financial transaction, related to the accounting entry.",N4,Approved,ACG_ENTR_DTL_TXN_TP_CODE,Transaction Group,"Further detailing of Transaction Type, used among others, for billing. In principle only for internal usage. Example: detailed transaction type code 23 stands for 'opname geldautomaat niet-' within transaction group 'GA - Geldautomaat'"
0fe50468-b5ea-4ab7-9ed4-f477913ea2da,"Payments, Savings & Investments LDD",Accounting Entry End-To-End Id,Accounting Entry End-To-End Id,"Unique identification, as assigned by the initiating party, to identify the transaction, related to the accounting entry",A35,Approved,ACG_ENTR_ETE_ID|END_TO_END_ID,,This identification is passed on (unchanged) throughout the entire end-to-end chain.
dc35c8fe-64f4-4999-8e79-948f9cbf4037,"Payments, Savings & Investments LDD",Accounting Entry First Remittance Information Description,Accounting Entry First Remittance Information Description,Free format remittance information description position 1 through 25.,A35,Approved,ACG_ENTR_FRST_RMT_INF_DSC|rmt_inf_ustrd1,,
924de859-022b-42c9-a32e-c804148f928b,"Payments, Savings & Investments LDD",Accounting Entry General Ledger Event Code,Accounting Entry General Ledger Event Code,Code that represents the general ledger accounting entry event.,A12,Approved,ACG_ENTR_GL_EV_CODE,General Ledger event code (Finance is owner),"e.g. COST, BTW"
4d80de26-a5e8-4c0c-837d-d121d9a1bbde,"Payments, Savings & Investments LDD",Accounting Entry General Ledger Event Currency Code,Accounting Entry General Ledger Event Currency Code,ISO standard 4217 (3 characters) Currency Code of the amount of the general ledger event of an accounting entry.,A3,Approved,ACG_ENTR_GL_EV_CCY_CODE,ISO 4217 Currency Code,For some general ledger events the currency of the amount of an accounting entry is different than the currency of the related agreement. The value of the currency code is based on the ISO standard 4217 (3 characters).
61f576ec-bdc7-4fd1-bccf-d67670e5085d,"Payments, Savings & Investments LDD",Accounting Entry General Ledger Financial Entity Code,Accounting Entry General Ledger Financial Entity Code,Code of the financial entity where the transaction is registered in the general ledger.,N4,Approved,ACG_ENTR_GL_FNC_ENT_CODE,Profit Centers (FEs),This is the Financial Entity that was valid for the corresponding agreement of the transaction at the time of execution. The time of execution is based on the transaction control timestamp assigned to the transaction.
3395bcd8-3fe9-4165-8b28-0f796e61dbad,"Payments, Savings & Investments LDD",Accounting Entry General Ledger Operating Unit Code,Accounting Entry General Ledger Operating Unit Code,Code of the operating unit where the transaction is registered in the general ledger.,A8,Approved,ACG_ENTR_GL_OPRG_UNIT_CODE,General Ledger Operating Unit Code (Finance is owner),This is the Operating Unit that was valid for the corresponding agreement of the transaction at the time of execution. The time of execution is based on the transaction control timestamp assigned to the transaction.
90291e6a-7f99-45e7-929a-037a4d898a17,"Payments, Savings & Investments LDD",Accounting Entry Origin Code,Accounting Entry Origin Code,A unique code indicating which system delivered the booking.,A4,Approved,ACG_ENTR_ORIG_CODE,"e.g. OFI1,ART1","This field is used for GL entries and is filled with the origin (source). e.g. OFI1, ART1"
fb81c634-7856-48ef-92ec-13aed58ac047,"Payments, Savings & Investments LDD",Accounting Entry Payment Account Currency Code,Accounting Entry Payment Account Currency Code,Code of the currency of the accounting entry based on the currency of the payment account.,A3,Approved,ACG_ENTR_PYMT_AC_CCY_CODE|acct_ccy,ISO 4217 Currency Code,"ISO 3 standard,' 3-lettercode'"
bbe84d82-e12c-44bc-964d-b6d7ffaff86d,"Payments, Savings & Investments LDD",Accounting Entry Payment Account IBAN,Accounting Entry Payment Account IBAN,IBAN of the payment account on which the accounting entry is posted.,A34,Approved,ACG_ENTR_PYMT_AC_IBAN|acct_id,,
e3c93d10-8de7-41eb-a37b-b89b11490090,"Payments, Savings & Investments LDD",Accounting Entry Period End Date,Accounting Entry Period End Date,The end date of the period to which the accounting entry is related.,D,Approved,ACG_ENTR_PRD_END_DT,,
0ec839eb-4e03-403a-ba20-d7894898f336,"Payments, Savings & Investments LDD",Accounting Entry Period Start Date,Accounting Entry Period Start Date,The start date of the period to which the accounting entry is related.,D,Approved,ACG_ENTR_PRD_STRT_DT,,
653ba1c4-674a-44e0-b2c4-f3723e341c64,"Payments, Savings & Investments LDD",Accounting Entry Product Number,Accounting Entry Product Number,The unique identifier for a product where the accounting entry is related to in the General Ledger.,N4,Approved,ACG_ENTR_PD_NO,,"This is a general field for a product number. This is not meant for a specific product. It can be a payment product, a savings product etc."
c9d1115a-8990-4817-9595-3d55d1eb27d1,"Payments, Savings & Investments LDD",Accounting Entry Related Contract Number,Accounting Entry Related Contract Number,Unique number of the contract where the posting is related to.,A35,Approved,ACG_ENTR_REL_CTR_NO,,Optional field. Reference number for specific General ledger bookings. No fixed value.
b2c9ab42-8b8d-4ea0-844f-bb2a12cfa04b,"Payments, Savings & Investments LDD",Accounting Entry Related Institution Code,Accounting Entry Related Institution Code,The unique id of the related institution where the transaction is registered in the general ledger,N4,Approved,ACG_ENTR_REL_INST_CODE,Company Structure GROUP,This is the affiliated instition identification that was valid for the corresponding agreement of the transaction at the time of execution. The time of execution is based on the transaction control timestamp assigned to the transaction.
2c8bff9e-562f-43d7-8d50-e396c26a6cf3,"Payments, Savings & Investments LDD",Accounting Entry Second Remittance Information Description,Accounting Entry Second Remittance Information Description,Free format remittance information description position 26 through 50.,A35,Approved,ACG_ENTR_SCD_RMT_INF_DSC|RMT_INF_USTRD2,,
df7b6156-869c-47cb-861a-2c9b7b8493a4,"Payments, Savings & Investments LDD",Accounting Entry Sequence Number,Accounting Entry Sequence Number,Unique number for an entry for an account.,N19,Approved,ACG_ENTR_SEQ_NO|ntry_seq_nb,,"Unique sequence number for one agreement, increasing by 1 for every booking."
30a3d221-7c38-4512-83aa-047744d5773b,"Payments, Savings & Investments LDD",Accounting Entry Settlement Account Currency Code,Accounting Entry Settlement Account Currency Code,ISO standard 4217 (3 characters) code of the currency of the account which is used to pay the RPK settlement.,A3,Approved,ACG_ENTR_SETL_AC_CCY_CODE,ISO 4217 Currency Code,
06787a67-ad0d-410b-93dd-a19a0ecfb394,"Payments, Savings & Investments LDD",Accounting Entry Settlement Account IBAN,Accounting Entry Settlement Account IBAN,The IBAN of the account which is used to pay the RPK settlement.,A34,Approved,ACG_ENTR_SETL_AC_IBAN,,
efaf06d8-90ec-4df0-bba0-bb5c23c3b497,"Payments, Savings & Investments LDD",Accounting Entry Tariff Group Number Of Units,Accounting Entry Tariff Group Number Of Units,The number of units purchased from a bank service by the customer.,N9,Approved,ACG_ENTR_TRFF_GRP_NOU,,
09a62fde-348f-4c01-8b8d-e826bb826b08,"Payments, Savings & Investments LDD",Accounting Entry Tax Code,Accounting Entry Tax Code,Code that refers to a specific tax rate.,A1,Approved,ACG_ENTR_TAX_CODE,"H,L,X","H: BTW hoog tarief, L: BTW laag tarief, X: Nul tarief"
