"id","name","workspace","permissions"
"admin","Admin","global","roles/admin/permissions.json"
"rule-approver","Rule Approver","global","roles/rule-approver/permissions.json"
"user-manager","User Manager","global","roles/user-manager/permissions.json"
"workspace-manager","Workspace Manager","global","roles/workspace-manager/permissions.json"
"viewer","Viewer","global","roles/viewer/permissions.json"
"auditor","Auditor","global","roles/auditor/permissions.json"
"regulator","Regulator","global","roles/regulator/permissions.json"
"user","User","global","roles/user/permissions.json"
"operator","Operator","global","roles/operator/permissions.json"
"cross-admin","Cross-Workspace Admin","global","roles/cross-admin/permissions.json"
"r01","Data Owner","retail-banking","roles/r01/permissions.json"
"r02","Data Steward","retail-banking","roles/r02/permissions.json"
"r03","Data Owner","corporate-banking","roles/r03/permissions.json"
"r04","Data Steward","corporate-banking","roles/r04/permissions.json"
"r05","Data Owner","investment-banking","roles/r05/permissions.json"
"r06","Data Steward","investment-banking","roles/r06/permissions.json"
"r07","Data Owner","risk-compliance","roles/r07/permissions.json"
"r08","Data Steward","risk-compliance","roles/r08/permissions.json"
"r09","Data Owner","treasury","roles/r09/permissions.json"
"r10","Data Steward","treasury","roles/r10/permissions.json"
"r11","Admin","retail-banking","roles/r11/permissions.json"
"r12","Admin","corporate-banking","roles/r12/permissions.json"
"r13","Admin","investment-banking","roles/r13/permissions.json"
"r14","Admin","risk-compliance","roles/r14/permissions.json"
"r15","Admin","treasury","roles/r15/permissions.json"
"r16","Cross-Workspace Admin","global","roles/r16/permissions.json"
"exception-fact-reader","Exception Fact Reader","global","roles/exception-fact-reader/permissions.json"
"exception-fact-investigator","Exception Fact Investigator","global","roles/exception-fact-investigator/permissions.json"
